,State_ID,State,Lat,Lon,Sleep in public statewide,Sleep in specific public places,Camp in public statewide,Camp in specific public places,Lying in specific public places,Sleep/live in vehicle,Loitering statewide,Loiter in specific public places,Standing in road,Panhandling statewide,Panhandling in specific public places,Panhandling in particular ways,Restrictiveness Score,TotalPopulation,Per10kResidents,ChronicallyHomeless,PeopleInFamilyUnits,SoloIndividuals,UnaccompaniedYouths,Veterans,ChronicPer10k
39,39,Rhode Island,41.7962409,-71.5992372,False,False,False,False,False,False,False,True,True,False,False,False,2,1577,14.4,421,506,1071,61,113,3.8442612555485103
40,40,South Carolina,33.6874388,-80.4363743,False,True,False,True,False,True,False,True,True,False,True,False,6,3608,7.0,698,866,2742,211,359,1.3542128603104213
41,41,South Dakota,44.6471761,-100.348761,False,False,False,True,False,True,False,False,False,False,False,False,2,1389,15.5,131,418,971,82,40,1.4618430525557955
42,42,Tennessee,35.7730076,-86.2820081,False,False,False,True,False,False,False,True,True,False,False,True,4,10567,15.1,1653,2360,8207,518,549,2.362098987413646
43,43,Texas,31.2638905,-98.5456116,False,False,True,True,False,False,False,True,True,False,True,False,5,24432,8.3,4812,5853,18579,1226,1711,1.6347249508840866
44,44,Utah,39.4225192,-111.714358,False,False,False,False,False,False,True,False,False,False,False,False,1,3557,10.7,722,1078,2479,189,155,2.1718864211414113
45,45,Virginia,37.1232245,-78.4927721,False,False,False,False,False,False,False,True,True,False,False,False,2,6529,7.6,1142,2295,4234,270,392,1.3293306785112573
46,46,Vermont,44.5990718,-72.5002608,False,False,False,False,False,False,False,False,True,False,True,False,2,2780,43.1,398,857,1923,145,100,6.170431654676259
47,47,Washington,38.8950368,-77.0365427,False,False,False,False,False,False,False,False,True,False,False,False,1,25211,32.6,7376,6486,18725,1802,1569,9.537804926421007
48,48,Wisconsin,44.4308975,-89.6884637,False,False,False,True,False,False,True,False,True,False,False,False,3,4775,8.1,510,1889,2886,228,341,0.865130890052356
49,49,West Virginia,38.4758406,-80.8408415,False,False,False,True,False,False,False,False,True,False,False,False,2,1375,7.7,204,137,1238,135,122,1.1423999999999999
50,50,Wyoming,42.9132581,-85.7057035,False,False,False,False,False,False,False,False,False,False,False,False,0,648,11.2,83,190,458,64,68,1.4345679012345678
