State ID,State,Sleeping in Public,Sleeping in Specific Public Areas,Camping in Public,Camping in Specific Public Areas,Lying Down in Public,Sleeping or Living in a Vehicle,Loitering,Loitering in Specific Public Areas,Standing in Roadway,Panhandling in Public,Panhandling in Specific Public Areas,Panhandling in particular ways,Restrictiveness Score,Total Homeless Population,Homeless Per 10k Residents,Chronically Homeless,PeopleInFamilyUnits,SoloIndividuals,UnaccompaniedYouths,Veterans,Sheltered Homeless Population,Individuals Sheltered,Families Sheltered,Unaccompanied Youth Sheltered
41,South Dakota,False,False,False,True,False,True,False,False,False,False,False,False,2,1389,15.5,131,418,971,82,40,817.0,517.0,300.0,66.0
42,Tennessee,False,False,False,True,False,False,False,True,True,False,False,True,4,10567,15.1,1653,2360,8207,518,549,3443.0,2678.0,765.0,130.0
43,Texas,False,False,True,True,False,False,False,True,True,False,True,False,5,24432,8.3,4812,5853,18579,1226,1711,11275.0,7518.0,3757.0,799.0
44,Utah,False,False,False,False,False,False,True,False,False,False,False,False,1,3557,10.7,722,1078,2479,189,155,2410.0,1664.0,746.0,132.0
45,Vermont,False,False,False,False,False,False,False,False,True,False,True,False,2,2780,43.1,398,857,1923,145,100,2591.0,1962.0,629.0,204.0
46,Virginia,False,False,False,False,False,False,False,True,True,False,False,False,2,6529,7.6,1142,2295,4234,270,392,5335.0,3430.0,1905.0,194.0
47,Washington,False,False,False,False,False,False,False,False,True,False,False,False,1,25211,32.6,7376,6486,18725,1802,1569,11511.0,7013.0,4498.0,726.0
48,West Virginia,False,False,False,True,False,False,False,False,True,False,False,False,2,1375,7.7,204,137,1238,135,122,823.0,682.0,141.0,65.0
49,Wisconsin,False,False,False,True,False,False,True,False,True,False,False,False,3,4775,8.1,510,1889,2886,228,341,3996.0,2275.0,1721.0,153.0
50,Wyoming,False,False,False,False,False,False,False,False,False,False,False,False,0,648,11.2,83,190,458,64,68,405.0,247.0,158.0,42.0
